pin,slack
Initial_blinking_SW1/cnt_RNI16SIH[6]:S,11529
Initial_blinking_SW1/cnt_RNI16SIH[6]:UB,16042
Fast_clk_SW2/cnt[23]:ADn,
Fast_clk_SW2/cnt[23]:ALn,16181
Fast_clk_SW2/cnt[23]:CLK,13637
Fast_clk_SW2/cnt[23]:D,11532
Fast_clk_SW2/cnt[23]:EN,
Fast_clk_SW2/cnt[23]:LAT,
Fast_clk_SW2/cnt[23]:Q,13637
Fast_clk_SW2/cnt[23]:SD,
Fast_clk_SW2/cnt[23]:SLn,
Fast_clk_SW2/cnt[19]:ADn,
Fast_clk_SW2/cnt[19]:ALn,16180
Fast_clk_SW2/cnt[19]:CLK,12726
Fast_clk_SW2/cnt[19]:D,11473
Fast_clk_SW2/cnt[19]:EN,
Fast_clk_SW2/cnt[19]:LAT,
Fast_clk_SW2/cnt[19]:Q,12726
Fast_clk_SW2/cnt[19]:SD,
Fast_clk_SW2/cnt[19]:SLn,
Initial_blinking_SW2/cnt_RNO[31]:A,
Initial_blinking_SW2/cnt_RNO[31]:B,12558
Initial_blinking_SW2/cnt_RNO[31]:C,17085
Initial_blinking_SW2/cnt_RNO[31]:CC,11238
Initial_blinking_SW2/cnt_RNO[31]:P,
Initial_blinking_SW2/cnt_RNO[31]:S,11238
Initial_blinking_SW2/cnt_RNO[31]:UB,
Initial_blinking_SW2/cnt_RNI95T111[28]:A,
Initial_blinking_SW2/cnt_RNI95T111[28]:B,12558
Initial_blinking_SW2/cnt_RNI95T111[28]:C,16385
Initial_blinking_SW2/cnt_RNI95T111[28]:CC,11313
Initial_blinking_SW2/cnt_RNI95T111[28]:P,
Initial_blinking_SW2/cnt_RNI95T111[28]:S,11313
Initial_blinking_SW2/cnt_RNI95T111[28]:UB,16385
Initial_blinking_SW1/cnt[13]:ADn,
Initial_blinking_SW1/cnt[13]:ALn,16180
Initial_blinking_SW1/cnt[13]:CLK,11626
Initial_blinking_SW1/cnt[13]:D,11361
Initial_blinking_SW1/cnt[13]:EN,
